busy | adj. | 忙碌的；全身心忙于某事
on | prep. | 在(某一天)；在……上；通过；关于
Saturday | n. | 星期六
basketball | n. | 篮球运动；篮球
noon | n. | 正午, 中午
afternoon | n. | 下午
parent | n. | 父亲；母亲
visit | v. | 访问；参观
grandparent | n. | 祖父；祖母；外祖父；外祖母
eat | v. | 吃饭；吃
watch | v. | 观看；关注
TV | n. | 电视
chore | n. | 日常事务；例行工作
go | v. | 去；出发；去从事
park | n. | 公园；v. 停(车)
shop | v. | 去商店买；n. 商店
walk | v. | 走；步行；n. 散步
live | v. | 居住；生活
small | adj. | 小的；年幼的
his | det. & pron. | 他的
him | pron. | 他
some | det. | 一些；某些；pron. 有些人,有些事物
most | det. & pron. | 大多数；adv. 最
their | det. | 他们的；她们的；它们的
text | n. | 文章；文本；正文；课本
about | prep. | 关于；adv. 大约
tree | n. | 树木
show | v. | 展示；教；表明；n. (电视或广播)节目
after | prep. & conj. | 在……后
them | pron. | 他们；她们；它们
weekend | n. | 周末
dinner | n. | 正餐,主餐
something | pron. | 某事；某物
for | prep. | 为得到；给；为了；(表示目的或功能)；因为
food | n. | 食物
set | v. | 摆放餐具；设置；安排电视机；一套；一组
table | n. | 桌子；表
clean | v. | 打扫；adj. 干净的；清新的
up | adv. & prep. | 彻底；向上
job | n. | 工作
whose | det. & pron. | 谁的
its | det. | (指事物,动物或婴儿) 它的,他的,她的
Mrs | abbr. | 夫人
son | n. | 儿子
ride | v. | 骑；驾驶
bike | n. | 自行车
well | adv. | 好；n. 井,水井
