colourful | adj. | 丰富多彩的；五彩缤纷的
life | n. | 生活；生命
biology | n. | 生物学
Chinese | n. | 汉语；中国人；adj. 中国的
geography | n. | 地理(学)
art | n. | 美术，艺术
history | n. | 历史课；地方志；历史
computer | n. | 电脑
Wednesday | n. | 星期三
English | n. | 英语学科；英语；英格兰人；adj. 英格兰的；英格兰人的；英语的
begin | v. | 开始
o'clock | adv. | (表示整点)……点钟
ten | num. | 十
half | n. | 一半
past | prep. | 在……之后；n. 过去；adj. 以前的；刚过去的
over | adv. | 结束；穿过；又；prep. 遍及；在……上面；穿越
quarter | n. | 一刻钟；四分之一；季度
now | adv. | 现在；目前
favourite | adj. | 特别受喜爱的；n. 特别喜爱的人 (或事物)
subject | n. | 科目
Thursday | n. | 星期四
by | prep. | (表示方式)；(表示施事者)；在……旁边；在……之前
underground | n. | 地铁
plane | n. | 飞机
foot | n. | 脚，足；底部
car | n. | 小汽车；轿车
train | n. | 火车；v. 训练；培训
ship | n. | (大)船；v. 运输
boat | n. | (泛指)船；舟，小船
way | n. | 方式；方面；路
stop | n. | 车站；停止；v. 停下；阻止；停止
usually | adv. | 经常地
come | v. | 来；来到
far | adv. | 远
never | adv. | 从不
take | v. | 乘坐；带去；携带；拍照
seldom | adv. | 不常, 很少
near | prep. | 在……附近
