sun | n. | 太阳；阳光
spring | n. | 春天；春季
summer | n. | 夏天；夏季
autumn | n. | 秋天；秋季
winter | n. | 冬天；冬季
hot | adj. | 温度高的；热的
cool | adj. | 凉的；凉爽的；酷的
cold | adj. | 寒冷的；n. 感冒
warm | adj. | 温暖的；保暖的；热心的；v. 变暖和
snow | v. | 下雪；n. 雪
snowman | n. | 雪人
sunny | adj. | 阳光充足的
today | adv. | 在今天；n. 今天；当今
picnic | n. & v. | 野餐
weather | n. | 天气
season | n. | 季；季节
why | adv. | 为什么
rain | n. | 雨；雨水；v. 下雨
dry | adj. | 干燥的；干旱的
badminton | n. | 羽毛球运动
baseball | n. | 棒球运动；棒球
phone | n. | 电话系统；手机
shoe | n. | 鞋
sorry | int. | 很抱歉；adj. 歉疚；难过
homework | n. | 家庭作业
hope | v. & n. | 希望
