yo-yo | n. | 悠悠球
long | adv. | (强调某事发生在某整段时间)；长期地；长久地；adj. 长的；长时间的；v. 渴望
cloudy | adj. | 阴天的；多云的
outdoors | adv. | 在户外；在野外
rainy | adj. | 阴雨的；多雨的
indoors | adv. | 在室内
exercise | n. | 锻炼；练习；v. 锻炼
health | n. | 健康
tip | n. | 实用的提示；小费；尖端
right | adj. | 适当的；正确的；右边的；n. 右边；权利
clothes | n. | 衣服；服装
important | adj. | 重要的
before | prep. & conj. | 在……以前
team | n. | 队；组
give | v. | 提供；送给；给
keep | v. | 继续；保持；存放；记录
pass | v. | 传球；及格；通过；传递；n. 及格
win | v. | 获胜, 赢
wish | n. | 心愿；祝愿；v. 希望；祝愿
feel | v. | 觉得, 感到；摸起来
star | n. | 明星；星
use | v. | 使用
grape | n. | 葡萄
fast | adv. | 快；迅速；adj. 快的；迅速的
feed | v. | 喂养；进食
bird | n. | 鸟；禽
red | n. | 红色；adj. 红色的
lake | n. | 湖；湖泊
