bat | n. | 蝙蝠；球拍
fly | v. | 飞；飞行；飞越；飞逝
active | adj. | 活跃的；积极的
night | n. | 夜；夜晚
panda | n. | 大熊猫；小熊猫
tail | n. | 尾；尾巴
bamboo | n. | 竹；竹子
brown | adj. | 棕色的；褐色的；n. 棕色；褐色
bear | n. | 熊；v. 承受；忍受
forest | n. | 森林；林区
north | adj. | 北方的；n. 北方
fish | n. | 鱼；鱼肉；v. 钓鱼；捕鱼
think | v. | 认为；思考；想
these | det. | 这些
grow | v. | (使) 生长；增加；成长
May | n. | 五月
June | n. | 六月
green | adj. | 绿色的；n. 绿色
plenty | pron. | 大量；充足
few | det. & adj. | 有些, 几个；很少；pron. 一些
wonder | n. | 奇迹；v. 想知道
main | adj. | 主要的
difference | n. | 差别；差异
horse | n. | 马
drink | v. | 喝；饮；n. 饮料
earth | n. | 土, 泥土；地球
egg | n. | 鸡蛋；蛋, 卵
cow | n. | 奶牛；母牛
map | n. | 地图
apple | n. | 苹果
sky | n. | 天空
windy | adj. | 多风的；风大的
kite | n. | 风筝
orange | adj. | 橙红色的；橘黄色的；n. 橙子；橙红色；橘黄色
bee | n. | 蜜蜂
shark | n. | 鲨鱼
climb | v. | 攀登；爬
monkey | n. | 猴子
butterfly | n. | 蝴蝶
duck | n. | 鸭；鸭肉
call | v. | 大声呼叫；把……叫作；(给……) 打电话；n. 通话
understand | v. | 理解；了解
