celebrate | v. | 庆祝；庆贺
double | adj. | 成双的；两倍的
ninth | num. | 第九
festival | n. | 节日；节
tomb | n. | 坟墓
sweep | v. & n. | 打扫, 清扫
dragon | n. | 龙
lantern | n. | 灯笼
lunar | adj. | 月球的；月亮的
August | n. | 八月
mooncake | n. | 月饼
moon | n. | 月亮；月球
January | n. | 一月
lucky | adj. | 带来好运的；幸运的
money | n. | 钱币；钱；财产
around | adv. | 大约；周围, 四周；prep. 围绕, 环绕；在那边
April | n. | 四月
late | adj. | 已故的；迟到；近深夜的
month | n. | 月；一个月的时间
July | n. | 七月
fifth | num. | 第五
labour | n. | 工人；劳动
holiday | n. | 假期
buy | v. | 购买
remember | v. | 纪念；记住；记起；记着
thank | v. | 谢谢, 感谢(某人)
