Christmas | n. | 圣诞节
light | n. | 电灯；光线；光；v. 点燃；adj. 浅色的；轻便的
paper | n. | 纸
then | adv. | 然后；当时；那么
present | n. | 礼物；adj. 当前的
Confucius |  | 孔子
thinker | n. | 思想家
word | n. | 话语；词, 字
another | det. & pron. | 又一
September | n. | 九月
should | v.aux. | 可以；应当
couplet | n. | 对联
last | det. | 最后的；最近的；v. 持续；adv. 最终
celebration | n. | 庆祝活动；庆祝
kitchen | n. | 厨房
delicious | adj. | 美味的, 可口的
meal | n. | 一顿饭
finally | adv. | 最后；最终
excited | adj. | 激动的；兴奋的
spend | v. | 度过；用, 花(钱或时间)；花费
author | n. | 著者；作者；作家
thirteenth | num. | 第十三
birthday | n. | 生日
hundred | num. | 一百
second | num. & det. | 第二；n. 秒
third | num. | 第三
nine | num. | 九
twelfth | num. | 第十二
twentieth | num. | 第二十
forty | num. | 四十
fortieth | num. | 第四十
fifty | num. | 五十
ninety | num. | 九十
fourth | num. | 第四
themselves | pron. | 他们自己；她们自己；它们自己
hang | v. | 悬挂；吊
