cause | n. | 原因；起因；v. 造成；引起；导致
effect | n. | 结果；影响
wall | n. | 墙, 墙壁；城墙
hurt | v. | (使) 疼痛, 受伤
himself | pron. | 他自己
housework | n. | 家务劳动；家务事
alone | adv. & adj. | 独自
people | n. | (墙或门上等的) 窥视孔
stranger | n. | 陌生人
delivery | n. | 递送；传送；交付
advantage | n. | 优点
cross | v. | 穿越；横过
guard | n. | 警卫,看守
accident | n. | (交通)事故；意外
noise | n. | 噪声
environment | n. | 自然环境；生态环境
fair | adj. | 公正的；公道的
court | n. | 球场；法院
dear | adj. | 亲爱的
since | conj. | 因为；既然
fight | v. | 打架；打仗；努力争取；为……斗争；n. 打架；比赛
mind | n. | 头脑；大脑；心思；v. 介意
herself | pron. | 她自己
French | n. | 法语；法国人；adj. 法国的；法国人的；法语的
itself | pron. | 它自己(指推动并受其影响的动物或事物)
ourselves | pron. | 我们自己
break | v. | 违犯,背弃；(使)破；弄坏；弄破；稍停；n. 休息
head | n. | 头；负责人；v. 前往
slowly | adv. | 慢地；缓慢地
speak | v. | 说话；谈话
loudly | adv. | 吵闹地；嘈杂地
law | n. | 法律；法规
advice | n. | 劝告；建议
attention | n. | 注意；专心
