taxi | n. | 出租汽车
paper-cut | n. | 剪纸艺术
divide | v. | (使)分开,分散,分割,分成
become | v. | 开始变得；成为
teammate | n. | 队友
heart | n. | 心；心脏
close | adj. | 亲密的；密切的；v. 关；关闭
improve | v. | 改进
hero | n. | 英雄
engineer | n. | 工程师；设计师
company | n. | 公司
villager | n. | 村民；乡村居民
tasty | adj. | 美味的；可口的
means | n. | 方式；方法；途径
loss | n. | 丧失；损失
taste | n. | 味道；鉴赏力；v. 有……味道；尝,品；喝
difficulty | n. | 困难；困境
voice | n. | 说话声；嗓音
proudly | adv. | 自豪地；骄傲地
painting | n. | 油画；画作
discuss | v. | 讨论；谈论
writing | n. | 书写；写作；笔迹
sound | v. | 听起来好像；n. 声音
soccer | n. | 足球, 足球运动
channel | n. | 水道；航道
tunnel | n. | 地下通道；隧道
difficult | adj. | 困难的
project | n. | 项目；方案；专题研究
British | adj. | 英国的；英国人的
