smart | adj. | 聪明的
shopper | n. | 购物者
mall | n. | 购物商场；购物广场
market | n. | 市场
bookstore | n. | 书店
supermarket | n. | 超市；超级市场
yuan | n. | 元(中国货币单位)
sell | v. | 出售, 售卖；销售得……；卖出
fruit | n. | 水果；果实
scarf | n. | 围巾；披巾；头巾
would | v.aux. | (客气地建议或邀请)；(表示愿意, 不愿意等)；将会
sure | adv. | 当然
list | n. | 清单；目录
salt | n. | 盐, 食盐
bag | n. | 购物袋；手提袋；提包
strawberry | n. | 草莓
kilo | n. | 千克；公斤
coffee | n. | 咖啡
cabbage | n. | 甘蓝；卷心菜
chicken | n. | 鸡肉；鸡
tofu | n. | 豆腐
watermelon | n. | 西瓜
carrot | n. | 胡萝卜
camera | n. | 照相机；摄影机
trousers | n. | 裤子
party | n. | 聚会, 宴会, 联欢会；政党
everything | pron. | 所有事物；一切；每件事
sale | n. | 特价销售；出售
online | adj. | 线上的；网上的；adv. 在网上
mum | n. | 妈妈
OK | int. | 好；行；adj. 安然无恙
plan | v. | 计划, 谋划；打算；n. 计划；(详细) 规划
