carry | v. | 拿；提；搬
heavy | adj. | 重的；厚的
price | n. | 价格；价钱
skirt | n. | 女裙；裙子
decide | v. | 决定
pocket | n. | 口袋
pocket money | n. | 零花钱
save | v. | 节省；攒钱；挽救
notebook | n. | 笔记本
between | prep. | 在……之间；介于……之间
wisely | adv. | 明智地
waste | v. | 浪费；n. 浪费；垃圾
try | v. & n. | 试图, 努力；试用；试
possible | adj. | 可能；能做到 (或取得)；n. 合适的人 (或物)
store | n. | (大型) 百货商店, 商店；v. 保存
careful | adj. | 慎重的, 细致的, 精心的；小心, 注意, 谨慎
expensive | adj. | 昂贵的；价格高的
choice | n. | 选择；选中的人 (或物)
check | v. | 检查；查看
payment | n. | 付款；支付；收款
again | adv. | 再一次；又一次
example | n. | 例子；实例
if | conj. | 如果；倘若
share | v. | 分享；合用
same | adj. | 相同的
pay | v. | 付费；付酬
piece | n. | 片；块
bread | n. | 面包
sandwich | n. | 三明治
thirsty | adj. | 口渴的
packet | n. | 小袋；小包装纸袋；小件包裹
meat | n. | 肉
cost | v. | 价钱为；n. 费用
bed | n. | 床
breakfast | n. | 早餐；早饭
bowl | n. | 碗；盆
scissors | n. | 剪刀
colored | adj. | 有……色的；色彩……的
cup | n. | 杯子；一杯 (的量)
cotton | n. | 棉织物；棉布；棉花
sock | n. | 短袜
may | v.aux. | 可以；也许
honey | n. | 蜂蜜
