planet | n. | 行星
ocean | n. | 大海, 海洋
metre | n. | 米
kilometre | n. | 千米；公里
through | prep. | 穿过；贯穿
eastern | adj. | 东方的；东部的
freshwater | adj. | 淡水的
million | num. | 一百万
inland | adj. | (在) 内陆的；adv. 向 (或在) 内陆
north-east | n. | 东北；东北方；东北地区
large | adj. | 大的, 大量的；大号的；广泛的, 众多的
deep | adj. | 深的, 厚的；纵深的, 宽的；adv. 深深地；至深处
wide | adj. | 宽的；宽阔的
everywhere | adv. | 到处
ground | n. | 地, 地面
into | prep. | 到……里面, 进入
form | v. | (使) 形成；产生；建立
cloud | n. | 云；云彩
ice | n. | 冰
drop | n. | 滴, 水珠；v. (使) 掉落
full | adj. | (有) 大量的, 丰富的；充满的；完全的
