useful | adj. | 有用的；有帮助的
wash | v. | 洗
outside | prep. | 在……外面；adv. 在外面
cycle | n. | 循环
quick | adj. | 快的；迅速的
shower | n. | 淋浴；淋浴间, 淋浴器；v. (洗) 淋浴
off | adv. | (用以表示除去某物)；休假；休息
tap | n. | 水龙头
while | conj. | 当……的时候；而, 然而
brush | v. | (用刷子) 刷净, 刷亮；n. 刷子
tooth | n. | 牙；齿
reuse | v. | 再次使用；重复使用
matter | n. | 关乎……的事情；事情；v. 事关紧要；要紧
fact | n. | 事实, 真相；现实
valuable | adj. | 宝贵的
enough | det. | 足够的, 充足的；adv. 足够地
once | adv. | 仅一次；一次；曾经；conj. 一……就
must | v.aux. | 必须；n. 必须做
collect | v. | 收集；采集
dig | v. | 掘(地)；挖(土)
worry | v. | 担心, 发愁；使担忧, 使发愁；n. 令人担忧的事；担心, 忧虑
story | n. | 故事；小说
cover | v. | 覆盖；遮盖；n. 覆盖物；躲避处
coastline | n. | 海岸线；沿海地带
than | prep. & conj. | (比较数量、距离等) 多于, 少于；(用于引出比较的第二部分) 比
thousand | num. | 一千
eighty | num. | 八十
sixty | num. | 六十
billion | num. | 十亿
per cent | n. | 百分之……
land | n. | 陆地, 大地；地带, 土地
knock | v. | 敲；击；n. 敲击声；敲门(或窗户)声
door | n. | 门
oh | int. | 哦, 啊；嘿
step | n. | 迈步；步骤；阶段
litter | v. | 乱扔；n. 垃圾
