bank | n. | 银行；岸；河畔
gym | n. | 健身房；体育馆
hotel | n. | 旅馆
theatre | n. | 戏院；剧场
museum | n. | 博物馆
road | n. | 路；道路
bridge | n. | 桥
across | adv. & prep. | 从一边到另一边；横过
corner | n. | 街角；拐角
excuse | v. | 原谅；n. 借口
cinema | n. | 电影院
madam | n. | 女士；夫人
could | v.aux. | 能, 可以
policeman | n. | (男)警察
sir | n. | 先生
line | n. | (铁)路线；线；行, 列；v. 沿……形成行(或列, 排)
station | n. | 公共汽车站, 长途汽车站；火车站
change | v. | 换乘；改变；n. 改变
minute | n. | 分钟
along | prep. | 沿着, 顺着
until | conj. & prep. | 直到……为止
crossing | n. | 安全通行处；人行横道
left | adv. | 向左；adj. 左边的；n. 左；左边
