gift | n. | 礼物；天赋；v. 白送
build | v. | 建造
speed | n. | 速度；迅速；v. 快速；加速
sign | n. | 标志, 招牌；迹象, 预兆
stand | v. | 站立, 站起来；容忍, 忍受
dark | adj. | 黑暗的；昏暗的
row | v. | 划 (船)
island | n. | 岛
front | n. | 前面；前部
safe | adj. | 处境(或情况)安全；安全的
myself | pron. | 我自己；亲自
evening | n. | 晚上；傍晚
sad | adj. | 悲哀的, 难过的；令人悲哀的, 让人难过的
back | adv. | 回原处；n. 背部；后部
tent | n. | 帐篷
camp | v. | 露营；宿营；n. 营地
unforgettable | adj. | 令人难忘的
trip | n. | 旅行
hold | v. | 抓住；拿着；举行
follow | v. | 遵循, 听从；跟随
return | v. | 返回；退还
hug | n. & v. | 拥抱
clear | adj. | 无云的；晴朗的；清晰易懂的；v. 移走, 搬走；转晴
safety | n. | 安全
problem | n. | 难题；困难
solve | v. | 解决；处理
behind | prep. | 在……后面
post | n. | 邮寄；邮件；帖子
office | n. | 办公室
post office | n. | 邮局
village | n. | 村庄
beside | prep. | 在旁边
neighbour | n. | 邻居
happen | v. | 发生；碰巧
community | n. | 社区
add | v. | 增加；添加
cry | v. | 喊叫；哭；n. 叫喊, 叫声
care | v. | 关注, 在意；关心, 关怀；n. 照料, 护理；小心, 谨慎
suddenly | adv. | 突然；忽然
shake | v. | 摇动；抖动
sit | v. | 坐
