director | n. | 导演
postman | n. | 邮递员，邮差
builder | n. | 建筑工人
artist | n. | 艺术家；（尤指）画家
guide | n. | 导游；指南；v. 指引；指导
pilot | n. | 飞行员
scientist | n. | 科学家；科研人员
send | v. | 邮寄；发送；传达；派遣
letter | n. | 信；信件
paint | v. | 用颜料画
eraser | n. | 橡皮
tool | n. | 工具
actor | n. | 演员
actress | n. | 女演员
direction | n. | 指导；方向
produce | v. | 制作；拍摄
believe | v. | 相信；把（某事）当真
sick | adj. | 生病的
thanks | int. | 谢谢，多谢；n. 感谢；谢意
vet | n. | 兽医
excellent | adj. | 优秀的；杰出的；极好的
dancer | n. | 舞蹈演员；跳舞者
lively | adj. | 活跃热情的；精力充沛的
news | n. | 新闻；消息
reporter | n. | 记者
maybe | adv. | 或许
report | n. & v. | 报道
