blind | adj. | 瞎的；失明的
patient | n. | 病人；adj. 有耐心的
railway | n. | 铁路；铁道
modern | adj. | 现代的；现代的；近代的
future | n. | 将来；未来
alarm | n. | 警报；闹铃
receive | v. | 受到,收到
sofa | n. | 沙发
fireman | n. | 消防队员
uniform | n. | 制服；校服
rush | v. | 迅速移动
dangerous | adj. | 有危险的
brave | adj. | 勇敢的
tiny | adj. | 极小的；微小的
taikonaut | n. | (中国的) 航天员
pioneer | n. | 先锋；带头人；开发者
journey | n. | (尤指长途) 旅行
training | n. | 训练；培训
without | prep. | 没有；缺乏
ready | adj. | 准备好
nearly | adv. | 差不多；将近
chance | n. | 机会；机遇
spaceship | n. | (航天) 飞船
succeed | v. | 成功；实现目标
act | n. | 行为；行动；所为；v. 扮演；行动
especially | adv. | 尤其；特别
quality | n. | 人品；素质；质量；adj. 优质的,高质量的
according |  | 据(……所说)；按(……所报道)
grandpa | n. | 爷爷；姥爷
piano | n. | 钢琴
interested | adj. | 感兴趣的；关心的
direct | v. | 导演；指挥；adj. 直接的
movie | n. | 电影
illness | n. | (身体或精神上的) 疾病, 病
explorer | n. | 探险者
curious | adj. | 求知欲强的；好奇的
secret | n. | 秘密
tomorrow | adv. | 在明天；在明日；n. 明天；明日
opinion | n. | 意见；想法
course | n. | 课程；进程
officer | n. | 高级职员, 官员；军官
vote | v. | 投票；选出
choose | v. | 选择；挑选
lawyer | n. | 律师
competition | n. | 比赛；竞赛
encourage | v. | 鼓励；激励
proud | adj. | 骄傲的；自豪的
success | n. | 成功；胜利
