outgoing | adj. | 外向的；友好的；爱交际的
shy | adj. | 羞怯的；腼腆的
snack | n. | 点心；小吃；快餐
chocolate | n. | 巧克力
cookie | n. | 曲奇饼
ice cream | n. | 冰激凌
cream | n. | 奶油
jogging | n. | 慢跑锻炼
lazy | adj. | 懒惰的；懒散的
condition | n. | 健康状况；状态；状况
uncomfortable | adj. | 使人不舒服的；令人不舒适的
diary | n. | 日记；日记簿
positive | adj. | 积极乐观的；积极的；正面的
benefit | n. | 益处；优势
mood | n. | 心情；情绪
volleyball | n. | 排球运动
energy | n. | 精力；能源；能量
glad | adj. | 高兴；愉快
confident | adj. | 自信的；有把握的
absent | adj. | 缺席；不在
moment | n. | 片刻；瞬间
oneself | pron. | 自己；亲自
seem | v. | 好像,似乎
unhealthy | adj. | 不健康的
empty | adj. | 空的；无意义的
stomach | n. | 胃
living | n. | 生活方式；adj. 生活的；活着的
nonsense | n. | 胡扯；谬论；胡言乱语
improper | adj. | 不正确的；不适当的；不诚实的
clearly | adv. | 明显地；清楚地, 清晰地
sleepy | adj. | 困倦的；瞌睡的
worse | adj. | 更差的；更糟的；更坏的
rid | v. | 摆脱
fridge | n. | 冰箱
weight | n. | 重量
