laugh | v. | 笑
happily | adv. | 快乐地；幸运地
period | n. | 一段时间；时期
teenage | adj. | 青少年的；十几岁的
stage | n. | 阶段；舞台
purpose | n. | 意图；目的
teenager | n. | 青少年
reach | v. | 达到；到达；够得着
adult | adj. | 成年的；发育成熟的；n. 成年人
height | n. | 身高；高度
hair | n. | 体毛；头发
certain | adj. | 特定的；无疑的；确实的
area | n. | 部位；面积；地区, 地域
pain | n. | 痛苦；苦恼；烦恼；疼痛
schoolwork | n. | 学校作业；课堂作业
stress | n. | 精神压力；心理负担
pressure | n. | 心理压力, 紧张；压力
deal | v. | 对待；对付
firstly | adv. | (用于列举) 首先, 第一
compare | v. | 比较；对比
shine | v. | 出色；发光
discover | v. | 认识到；发现
memory | n. | 回忆；记忆；记忆力；记忆
junior | adj. | 为 11 或 13 岁以下儿童设立的；地位低下的
junior high school |  | (美国和加拿大) 初级中学
trouble | n. | 问题；困难；困境
email | n. | 电子邮件；v. (给……) 发电子邮件
detail | n. | 细节；详情
advise | v. | 劝告；建议
congratulation | n. | 祝贺；恭贺
disappointed | adj. | 失望的；沮丧的
honest | adj. | 坦诚的；诚实的
gather | v. | 收拢；聚集；集合；搜集
courage | n. | 勇气；勇敢
spare | v. | 抽出；留出；adj. 空闲的；空余的
cellphone | n. | 手机；移动电话
boss | n. | 老板
careless | adj. | 粗心的；不小心的；不仔细的
joy | n. | 喜悦；乐趣
comfortable | adj. | 舒服的, 安逸的；舒适的；自在的
smoke | v. | 吸烟；n. 烟；吸烟
youth | n. | 青年时期 (尤指成年以前)；年轻；青年
might | v.aux. | 可能
bathroom | n. | 浴室
jog | v. | 慢跑
postcard | n. | 明信片
