lotus | n. | 莲属植物
rich | adj. | 丰富多彩的；富有的；油腻的
culture | n. | 文化
cultural | adj. | 文化的；与文化有关的
interest | n. | 吸引力；兴趣
average | n. | 平均数；adj. 平均的
saying | n. | 谚语；格言
heaven | n. | 天堂
above | adv. | 在(或向)上面；prep. 在(或向)……上面
below | adv. | 在(或到)下面；prep. 在(或到)……下面
landscape | n. | 风景, 景色
broken | adj. | 破损的；残缺的
traveler | n. | 旅行者；旅客；游客
bicycle | n. | 自行车
landmark | n. | 地标
whole | adj. | 全部的；整体的
material | n. | 材料
structure | n. | 结构体；(尤指) 建筑物；结构；构造
surely | adv. | 无疑；必定；想必
performing arts | n. | 表演艺术
sail | v. | 航行；n. 帆
dining | n. | 用餐
vacation | n. | (学校的) 假期
field | n. | 田；地；场地
terrace | n. | 梯田；排屋；阳台
pig | n. | 猪
message | n. | 信息, 消息；v. 发即时信息
view | n. | 景色, 风景；视野
countryside | n. | 乡村
system | n. | 系统；体制
unusual | adj. | 特别的, 不寻常的
lean | v. | 倾斜
fix | v. | 修理；校正
base | n. | 底部, 根基；基地
firm | adj. | 牢固的, 稳固的；坚固的
beach | n. | 海滩；沙滩
hostess | n. | 女房东；女主持人
expect | v. | 期待；预计；要求；指望
warn | v. | 劝告；警告；告诫
forward | adv. | 往后；向前
