diameter | n. | 直径
asteroid | n. | 小行星
belt | n. | 环形地带；腰带
separate | v. | (使) 分开；划分
inner | adj. | 接近中心的；内部的；内心的
outer | adj. | 外圈的；远离中心的；外边的
Mercury | n. | 水星
Venus | n. | 金星；太白星
Mars | n. | 火星
include | v. | 包括；包含
Jupiter | n. | 木星
Saturn | n. | 土星
Uranus | n. | 天王星
Neptune | n. | 海王星
rock | n. | 岩石；摇滚乐
gas | n. | 气体；天然气
inside | adv. | 在(或向)里面；prep. 在(或向)……里
least | adv. | 最少；最小
power | n. | 能量；控制力；影响力；电力供应
mainly | adv. | 主要地；首要地
neither | adv. | 也不；det. & pron. 两者都不
nor | conj. & adv. | 也不
distance | n. | 距离
minus | prep. | 零下
survive | v. | 生存；存活；幸存
alive | adj. | 活着；在世
responsibility | n. | 责任；负责
related | adj. | 相关的；有联系的
exploration | n. | 探索；勘探
development | n. | 发展；开发
industry | n. | 工业；生产制造
fill | v. | (使)充满
due | adj. | 由于；因为
death | n. | 死；死亡
valley | n. | 山谷
rainfall | n. | 降雨量；下雨
low | adj. | 低的
