let	let	let
be	biː	biː
friend	freɪnd	freɪnd
hello	həˈləʊ	həˈləʊ
nice	naɪs	naɪs
to	tuː	tuː
meet	miːt	miːt
you	juː	juː
too	tuː	tuː
good	ɡʊd	ɡʊd
morning	ˈmɔːrnɪŋ	ˈmɔːnɪŋ
I	aɪ	aɪ
fine	faɪn	faɪn
how	haʊ	haʊ
do	duː	duː
like	laɪk	laɪk
science	ˈsaɪəns	ˈsaɪəns
my	maɪ	maɪ
name	neɪm	neɪm
read	riːd	riːd
love	lʌv	lʌv
hike	haɪk	haɪk
enjoy	ɪnˈdʒɔɪ	ɪnˈdʒɔɪ
play	pleɪ	pleɪ
football	ˈfʊtbɔːl	ˈfʊtbɔːl
sing	sɪŋ	sɪŋ
Miss	mɪs	mɪs
picnic	ˈpɪknik	ˈpɪknik
weather	ˈweðə(r)	ˈweðə(r)
season	ˈsiːzn	ˈsiːzn
why	wai	wai
rain	reɪn	reɪn
dry	draɪ	draɪ
badminton	ˈbædmɪntən	ˈbædmɪntən
baseball	ˈbeɪsbɔːl	ˈbeɪsbɔːl
phone	fəʊn	fəʊn
shoe	ʃuː	ʃuː
sorry	ˈsɔːri	ˈsɒri
homework	ˈhəʊmwɜːrk	ˈhəʊmwɜːk
hope	həʊp	həʊp
yo-yo	ˈjəʊ jəʊ	ˈjəʊ jəʊ
long	lɔːŋ	lɒŋ
cloudy	ˈklaʊdi	ˈklaʊdi
outdoors	aʊtˈdɔːrz	aʊtˈdɔːz
rainy	ˈreɪni	ˈreɪni
indoors	ɪnˈdɔːrz	ɪnˈdɔːz
exercise	ˈeksərsaɪz	ˈeksəsaɪz
health	helθ	helθ
tip	tɪp	tɪp
right	raɪt	raɪt
important	ɪmˈpɔːtnt	ɪmˈpɔːtnt
before	bɪˈfɔː(r)	bɪˈfɔː(r)
team	tiːm	tiːm
give	ɡɪv	ɡɪv
keep	kiːp	kiːp
pass	pæs	pɑːs
win	wɪn	wɪn
wish	wɪʃ	wɪʃ
feel	fiːl	fiːl
star	stɑː(r)	stɑː(r)
use	juːz	juːz
grape	ɡreɪp	ɡreɪp
fast	fæst	fɑːst
feed	fiːd	fiːd
bird	bɜːrd	bɜːd
red	red	red
lake	leɪk	leɪk
Tai Chi	ˈtaɪ tʃi	ˈtaɪ tʃi
when	wɛn	wɛn
ski	ski	ski
hometown	ˈhəʊmtəʊn	ˈhəʊmtəʊn
travel	ˈtreɪvl	ˈtreɪvl
mountain	ˈmaʊntn	ˈmaʊntən
turn	tɜːrn	tɜːn
move	muːv	muːv
survey	ˈsɜːrveɪ	ˈsɜːveɪ
week	wiːk	wiːk
hour	ˈaʊə(r)	ˈaʊə(r)
result	rɪˈzʌlt	rɪˈzʌlt
cap	kæp	kæp
pair	per	peə(r)
shorts	ʃɔːrts	ʃɔːts
zoo	zuː	zuː
wind	wɪnd	wɪnd
leg	leg	leg
race	reɪs	reɪs
side	saɪd	saɪd
even	iːvən	iːvən
write	raɪt	raɪt
down	daʊn	daʊn
nature	ˈneɪtʃə(r)	ˈneɪtʃə(r)
sea	siː	siː
desert	ˈdezərt	ˈdezət
